[rosmaster.main][INFO] 2020-11-08 08:00:45,549: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-08 08:00:45,549: Starting ROS Master Node
[rosmaster.master][INFO] 2020-11-08 08:20:31,132: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:40553/']
[rosmaster.master][INFO] 2020-11-08 08:20:31,133: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:40553/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:20:31,133: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:20:31,134: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:23:38,971: +PUB [/rosout] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,976: +SERVICE [/train_1240_1604823818860/get_loggers] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,977: +SERVICE [/train_1240_1604823818860/set_logger_level] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,980: +SUB [/bev/flow_image] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,983: +SUB [/occupancy_image] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,986: +SUB [/odom] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,988: +SUB [/start_goal] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,989: +PUB [/cmd_vel/train] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,990: +PUB [/train/episode] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,996: -SUB [/bev/flow_image] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,997: -SUB [/occupancy_image] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,997: -SUB [/odom] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,997: -SUB [/start_goal] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,997: -PUB [/rosout] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,997: -PUB [/cmd_vel/train] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,997: -PUB [/train/episode] /train_1240_1604823818860 http://luigi:33613/
[rosmaster.master][INFO] 2020-11-08 08:23:38,998: -SERVICE [/train_1240_1604823818860/get_loggers] /train_1240_1604823818860 rosrpc://luigi:46695
[rosmaster.master][INFO] 2020-11-08 08:23:38,998: -SERVICE [/train_1240_1604823818860/set_logger_level] /train_1240_1604823818860 rosrpc://luigi:46695
[rosmaster.master][INFO] 2020-11-08 08:23:39,051: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:33613/']
[rosmaster.master][INFO] 2020-11-08 08:23:39,052: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:33613/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:23:39,053: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:23:39,053: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:24:21,707: +PUB [/rosout] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,711: +SERVICE [/train_1257_1604823861588/get_loggers] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,713: +SERVICE [/train_1257_1604823861588/set_logger_level] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,716: +SUB [/bev/flow_image] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,719: +SUB [/occupancy_image] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,721: +SUB [/odom] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,723: +SUB [/start_goal] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,724: +PUB [/cmd_vel/train] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,726: +PUB [/train/episode] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,726: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:34597/']
[rosmaster.master][INFO] 2020-11-08 08:24:21,728: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:34597/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:24:21,736: -SUB [/bev/flow_image] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,736: -SUB [/occupancy_image] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,736: -SUB [/odom] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,736: -SUB [/start_goal] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,737: -PUB [/rosout] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,737: -PUB [/cmd_vel/train] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,737: -PUB [/train/episode] /train_1257_1604823861588 http://luigi:34597/
[rosmaster.master][INFO] 2020-11-08 08:24:21,737: -SERVICE [/train_1257_1604823861588/get_loggers] /train_1257_1604823861588 rosrpc://luigi:39867
[rosmaster.master][INFO] 2020-11-08 08:24:21,737: -SERVICE [/train_1257_1604823861588/set_logger_level] /train_1257_1604823861588 rosrpc://luigi:39867
[rosmaster.master][INFO] 2020-11-08 08:24:21,828: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:24:21,829: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:24:38,285: +PUB [/rosout] /train_1275_1604823878173 http://luigi:36629/
[rosmaster.master][INFO] 2020-11-08 08:24:38,290: +SERVICE [/train_1275_1604823878173/get_loggers] /train_1275_1604823878173 http://luigi:36629/
[rosmaster.master][INFO] 2020-11-08 08:24:38,292: +SERVICE [/train_1275_1604823878173/set_logger_level] /train_1275_1604823878173 http://luigi:36629/
[rosmaster.master][INFO] 2020-11-08 08:24:38,295: +SUB [/bev/flow_image] /train_1275_1604823878173 http://luigi:36629/
[rosmaster.master][INFO] 2020-11-08 08:24:38,298: +SUB [/occupancy_image] /train_1275_1604823878173 http://luigi:36629/
[rosmaster.master][INFO] 2020-11-08 08:24:38,300: +SUB [/odom] /train_1275_1604823878173 http://luigi:36629/
[rosmaster.master][INFO] 2020-11-08 08:24:38,303: +SUB [/start_goal] /train_1275_1604823878173 http://luigi:36629/
